Heater :  n. Stove or other heating device.
Operations : research  n. = *operational research.
Well : off  adj. (also well-off) 1 having plenty of money. 2 in a fortunate situation.
Miniature :  —adj. 1 much smaller than normal. 2 represented on a small scale. —n. 1 any miniature object. 2 detailed small-scale portrait. 3 this genre.  in miniature on a small scale.  miniaturist n. (in senses 2 and 3 of n.). [latin minium red lead]
Half : measures  n.pl. Unsatisfactory compromise or inadequate policy.
Flip2 :  n. 1 = *egg-flip. 2 drink of heated beer and spirit. [perhaps from *flip1]
Ammunition :  n. 1 supply of bullets, shells, grenades, etc. 2 information usable in an argument. [french la *munition taken as l'ammu-]
Intern :  —n. (also interne) esp. Us = *houseman. —v. Oblige (a prisoner, alien, etc.) To reside within prescribed limits.  internment n. [french: related to *internal]
Querulous :  adj. Complaining, peevish.  querulously adj. [latin queror complain]
Untiring :  adj. Tireless.  untiringly adv.
Contractible :  adj. That can be shrunk or drawn together.
Turkish :  —adj. Of turkey, the turks, or their language. —n. This language.
Interrelate :  v. (-ting) 1 relate (two or more things) to each other. 2 (of two or more things) relate to each other.  interrelation n. Interrelationship n.
Disingenuous :  adj. Insincere, not candid.  disingenuously adv.
Hind1 :  adj. At the back (hind leg). [old english hindan from behind]
Ff :  abbr. Mus. Fortissimo.
Noon :  n. Twelve o'clock in the day, midday. [latin nona (hora) ninth (hour): originally = 3 p.m.]
Land : line  n. Means of telecommunication over land.
Lived-in :  adj. 1 (of a room etc.) Showing signs of habitation. 2 colloq. (of a face) marked by experience.
Painty :  adj. Of or covered in paint (painty smell).
Grapeshot :  n. Hist. Small balls used as charge in a cannon and scattering when fired.
Tsar :  n. (also czar) (fem. Tsarina) hist. Title of the former emperors of russia.  tsarist n. (usu. Attrib.). [latin caesar]
Hippopotamus :  n. (pl. -muses or -mi) large african mammal with short legs and thick skin, living by rivers, lakes, etc. [greek hippos horse, potamos river]
Brandy-snap :  n. Crisp rolled gingerbread wafer usu. Filled with cream.
Wrong : side  n. Worse or undesired or unusable side of esp. Fabric.
Prosy :  adj. (-ier, -iest) tedious, commonplace, dull (prosy talk).  prosily adv. Prosiness n.
Mortal :  —adj. 1 subject to death. 2 causing death; fatal. 3 (of combat) fought to the death. 4 associated with death (mortal agony). 5 (of an enemy) implacable. 6 (of pain, fear, an affront, etc.) Intense, very serious. 7 colloq. Long and tedious (for two mortal hours). 8 colloq. Conceivable, imaginable (every mortal thing; of no mortal use). —n. Human being.  mortally adv. [latin mors mort- death]
Cashier2 :  v. Dismiss from service, esp. With disgrace. [french: related to *quash]
Long : shot  n. 1 wild guess or venture. 2 bet at long odds.
Conscientious :  adj. Diligent and scrupulous.  conscientiously adv. Conscientiousness n. [medieval latin: related to *conscience]
Equality :  n. Being equal. [latin: related to *equal]
Isomer :  n. One of two or more compounds with the same molecular formula but a different arrangement of atoms.  isomeric adj. Isomerism n. [greek *iso-, meros share]
Cycad :  n. Palmlike plant often growing to a great height. [greek koix egyptian palm]
Sorrow :  —n. 1 mental distress caused by loss or disappointment etc. 2 cause of sorrow. —v. Feel sorrow, mourn. [old english]
Battlebus :  n. Colloq. Bus used by a politician during an election campaign as a mobile centre of operations.
Carmine :  —adj. Of vivid crimson colour. —n. 1 this colour. 2 carmine pigment made from cochineal. [probably from latin carmesinum *crimson]
Trimaran :  n. Vessel like a catamaran, with three hulls side by side. [from *catamaran]
Concrete :  —adj. 1 a existing in a material form; real. B specific, definite (concrete evidence; a concrete proposal). 2 gram. (of a noun) denoting a material object as opposed to a quality, state, etc. —n. (often attrib.) Mixture of gravel, sand, cement, and water, used for building. —v. (-ting) cover with or embed in concrete.  [latin cresco cret- grow]
Accident :  n. 1 unfortunate esp. Harmful event, caused unintentionally. 2 event that is unexpected or without apparent cause.  by accident unintentionally. [latin cado fall]
Paten :  n. Shallow dish for bread at the eucharist. [latin patina]
O4 :  int. 1 var. Of *oh. 2 prefixed to a name in the vocative (o god). [natural exclamation]
Éclat :  n. 1 brilliant display. 2 social distinction; conspicuous success. [french]
Heating :  n. 1 imparting or generation of heat. 2 equipment used to heat a building etc.
Denude :  v. (-ding) 1 make naked or bare. 2 (foll. By of) strip of (covering, property, etc.).  denudation n. [latin nudus naked]
'Struth :  int. (also 'strewth) colloq. Exclamation of surprise. [god's truth]
Holy : see  n. Papacy or papal court.
Cheesecloth :  n. Thin loosely-woven cloth.
Department : store  n. Large shop with many departments.
Jerry-builder :  n. Incompetent builder using cheap materials.  jerry-building n. Jerry-built adj. [origin uncertain]
All-rounder :  n. Versatile person.
'S :  abbr. 1 is; has (he's; she's got it; john's; charles's). 2 us (let's).
Poniard :  n. Dagger. [french poignard from latin pugnus fist]
Bourgeoisie :  n. 1 capitalist class. 2 middle class. [french]
Psychosis :  n. (pl. -choses) severe mental disorder with loss of contact with reality. [greek: related to *psyche]
Menstruation :  n. Process of discharging blood etc. From the uterus, usu. At monthly intervals from puberty to menopause.
Chancy :  adj. (-ier, -iest) uncertain; risky.  chancily adv.
Briar1 :  var. Of *brier1.
Poll :  —n. 1 a (often in pl.) Voting or the counting of votes at an election (go to the polls). B result of voting or number of votes recorded. 2 = *opinion poll. 3 human head. —v. 1 a take the vote or votes of. B receive (so many votes). C give (a vote). 2 record the opinion of (a person or group) in an opinion poll. 3 cut off the top of (a tree or plant), esp. Make a pollard of. 4 (esp. As polled adj.) Cut the horns off (cattle). [perhaps from low german or dutch]
Nag2 :  n. Colloq. Horse. [origin unknown]
Prude :  n. Excessively (often affectedly) squeamish or sexually modest person.  prudery n. Prudish adj. Prudishly adv. Prudishness n. [french: related to *proud]
Painter1 :  n. Person who paints; artist or decorator.
Alembic :  n. 1 hist. Apparatus formerly used in distilling. 2 means of refining or extracting. [greek ambix, -ikos cap of a still]
Splosh :  colloq. —v. Move with a splashing sound. —n. 1 splashing sound. 2 splash of water etc. [imitative]
Comfrey :  n. (pl. -s) tall bell-flowered plant growing in damp, shady places. [french from latin]
Adduce :  v. (-cing) cite as an instance or as proof or evidence.  adducible adj. [latin: related to *ad-, duco lead]
Cannabis :  n. 1 hemp plant. 2 parts of it used as a narcotic. [latin from greek]
Reminisce :  v. (-cing) indulge in reminiscence.
Clincher :  n. Colloq. Point or remark that settles an argument etc.
Set : piece  n. 1 formal or elaborate arrangement, esp. In art or literature. 2 fireworks arranged on scaffolding etc.
Freehand :  —adj. (of a drawing etc.) Done without special instruments. —adv. In a freehand manner.
Acumen :  n. Keen insight or discernment. [latin, = *acute thing]
King : of arms  n. A chief herald.
Limb1 :  n. 1 arm, leg, or wing. 2 large branch of a tree. 3 branch of a cross.  out on a limb isolated. [old english]
Weaver :  n. 1 person who weaves fabric. 2 (in full weaver-bird) tropical bird building elaborately woven nests.
Henge :  n. Prehistoric monument consisting of a circle of stone or wood uprights. [stonehenge in s. England]
Diamond :  n. 1 very hard transparent precious stone of pure crystallized carbon. 2 rhombus. 3 a playing-card of the suit denoted by a red rhombus. B (in pl.) This suit. [greek: related to *adamant]
Embassy :  n. (pl. -ies) 1 a residence or offices of an ambassador. B ambassador and staff. 2 deputation to a foreign government. [french: related to *ambassador]
Mine1 :  poss. Pron. The one(s) of or belonging to me (it is mine; mine are over there).  of mine of or belonging to me (a friend of mine). [old english]
Counter-attack :  —n. Attack in reply to a preceding attack. —v. Attack in reply.
Philosophical :  adj. (also philosophic) 1 of or according to philosophy. 2 skilled in or devoted to philosophy. 3 calm in adversity.  philosophically adv.
Palmy :  adj. (-ier, -iest) 1 of, like, or abounding in palms. 2 triumphant, flourishing (palmy days).
Splatter :  —v. Splash esp. With a continuous noisy action; spatter. —n. Noisy splashing sound. [imitative]
