1. Heater :  n. Stove or other heating device.
2. Operations : research  n. = *operational research.
3. Well : off  adj. (also well-off) 1 having plenty of money. 2 in a fortunate situation.
4. Miniature :  —adj. 1 much smaller than normal. 2 represented on a small scale. —n. 1 any miniature object. 2 detailed small-scale portrait. 3 this genre.  in miniature on a small scale.  miniaturist n. (in senses 2 and 3 of n.). [latin minium red lead]
5. Half : measures  n.pl. Unsatisfactory compromise or inadequate policy.
6. Flip2 :  n. 1 = *egg-flip. 2 drink of heated beer and spirit. [perhaps from *flip1]
7. Ammunition :  n. 1 supply of bullets, shells, grenades, etc. 2 information usable in an argument. [french la *munition taken as l'ammu-]
8. Intern :  —n. (also interne) esp. Us = *houseman. —v. Oblige (a prisoner, alien, etc.) To reside within prescribed limits.  internment n. [french: related to *internal]
9. Querulous :  adj. Complaining, peevish.  querulously adj. [latin queror complain]
10. Untiring :  adj. Tireless.  untiringly adv.
11. Contractible :  adj. That can be shrunk or drawn together.
12. Turkish :  —adj. Of turkey, the turks, or their language. —n. This language.
13. Interrelate :  v. (-ting) 1 relate (two or more things) to each other. 2 (of two or more things) relate to each other.  interrelation n. Interrelationship n.
14. Disingenuous :  adj. Insincere, not candid.  disingenuously adv.
15. Hind1 :  adj. At the back (hind leg). [old english hindan from behind]
16. Ff :  abbr. Mus. Fortissimo.
17. Noon :  n. Twelve o'clock in the day, midday. [latin nona (hora) ninth (hour): originally = 3 p.m.]
18. Land : line  n. Means of telecommunication over land.
19. Lived-in :  adj. 1 (of a room etc.) Showing signs of habitation. 2 colloq. (of a face) marked by experience.
20. Painty :  adj. Of or covered in paint (painty smell).
21. Grapeshot :  n. Hist. Small balls used as charge in a cannon and scattering when fired.
22. Tsar :  n. (also czar) (fem. Tsarina) hist. Title of the former emperors of russia.  tsarist n. (usu. Attrib.). [latin caesar]
23. Hippopotamus :  n. (pl. -muses or -mi) large african mammal with short legs and thick skin, living by rivers, lakes, etc. [greek hippos horse, potamos river]
24. Brandy-snap :  n. Crisp rolled gingerbread wafer usu. Filled with cream.
25. Wrong : side  n. Worse or undesired or unusable side of esp. Fabric.
